Dates,Open Price,High Price,Low Price,Close Price
09-06-1982,109.46,109.63,108.53,108.99
10-06-1982,109.35,109.7,108.96,109.61
11-06-1982,111.11,111.48,109.65,111.24
14-06-1982,110.5,111.22,109.9,109.96
15-06-1982,109.63,109.96,108.98,109.96
16-06-1982,110.1,110.13,108.82,108.87
17-06-1982,108.01,108.85,107.48,107.6
18-06-1982,107.6,107.6,107.07,107.28
21-06-1982,107.28,107.88,107.01,107.2
22-06-1982,107.25,108.3,107.17,108.3
23-06-1982,108.59,110.14,108.09,110.14
24-06-1982,110.25,110.92,109.79,109.83
25-06-1982,109.56,109.83,109.09,109.14
28-06-1982,109.3,110.45,109.17,110.26
29-06-1982,110.26,110.57,109.68,110.21
30-06-1982,110.95,111,109.5,109.61
01-07-1982,109.52,109.63,108.62,108.71
02-07-1982,108.1,108.71,107.6,107.65
06-07-1982,107.27,107.67,106.74,107.29
07-07-1982,107.08,107.61,106.99,107.22
08-07-1982,106.85,107.53,105.57,107.53
09-07-1982,108.23,108.97,107.56,108.83
12-07-1982,109.48,109.62,108.89,109.57
13-07-1982,109.19,110.07,109.19,109.45
14-07-1982,109.68,110.44,109.08,110.44
15-07-1982,110.83,110.95,110.27,110.47
16-07-1982,110.16,111.48,110.16,111.07
19-07-1982,111.75,111.78,110.66,110.73
20-07-1982,111.11,111.56,110.35,111.54
21-07-1982,112.15,112.39,111.38,111.42
22-07-1982,110.95,112.02,110.94,111.47
23-07-1982,111.46,111.58,111.05,111.17
26-07-1982,110.66,111.16,110.29,110.36
27-07-1982,110.26,110.35,109.36,109.43
28-07-1982,109.42,109.42,107.53,107.73
29-07-1982,107.42,107.92,106.62,107.72
30-07-1982,107.35,107.95,107.01,107.09
02-08-1982,107.71,109.09,107.11,108.98
03-08-1982,108.98,109.43,107.81,107.83
04-08-1982,107.83,107.83,106.11,106.14
05-08-1982,106.1,106.1,104.76,105.16
06-08-1982,105.16,105.16,103.67,103.71
09-08-1982,103.69,103.69,102.2,103.08
10-08-1982,103.11,103.84,102.82,102.84
11-08-1982,102.83,103.01,102.48,102.6
12-08-1982,102.6,103.22,102.39,102.42
13-08-1982,102.42,103.85,102.4,103.85
16-08-1982,103.86,105.52,103.82,104.09
17-08-1982,105.4,109.33,104.32,109.04
18-08-1982,109.04,111.58,108.46,108.53
19-08-1982,108.53,109.86,108.34,109.16
20-08-1982,109.19,113.03,109.19,113.02
23-08-1982,113.02,116.11,112.65,116.11
24-08-1982,116.11,116.39,115.08,115.34
25-08-1982,115.35,118.12,115.11,117.58
26-08-1982,117.57,120.26,117.57,118.55
27-08-1982,117.38,118.56,116.63,117.11
30-08-1982,117.05,117.66,115.79,117.66
31-08-1982,117.65,119.6,117.65,119.51
01-09-1982,119.52,120.05,117.98,118.25
02-09-1982,118.24,120.32,117.84,120.28
03-09-1982,120.31,123.64,120.31,122.68
07-09-1982,122.68,122.68,121.19,121.37
08-09-1982,121.33,123.11,121.19,122.2
09-09-1982,122.19,123.22,121.9,121.97
10-09-1982,121.97,121.98,120.27,120.97
13-09-1982,120.94,122.24,120.25,122.24
14-09-1982,122.27,123.69,122.27,123.1
15-09-1982,123.09,124.81,122.72,124.29
16-09-1982,124.28,124.88,123.65,123.77
17-09-1982,123.76,123.76,122.34,122.55
20-09-1982,122.54,122.54,121.48,122.51
21-09-1982,122.51,124.91,122.51,124.88
22-09-1982,124.9,126.43,123.99,123.99
23-09-1982,123.99,124.19,122.96,123.81
24-09-1982,123.79,123.8,123.11,123.32
27-09-1982,123.32,123.62,122.75,123.62
28-09-1982,123.62,124.16,123.21,123.24
29-09-1982,123.24,123.24,121.28,121.63
30-09-1982,121.62,121.62,120.14,120.42
01-10-1982,120.4,121.97,120.15,121.97
04-10-1982,121.97,121.97,120.56,121.51
05-10-1982,121.6,122.73,121.6,121.98
06-10-1982,122,126.97,122,126.97
07-10-1982,125.99,128.96,125.99,128.8
08-10-1982,128.79,131.11,128.79,131.05
11-10-1982,131.06,135.53,131.06,134.47
12-10-1982,134.48,135.85,133.59,134.44
13-10-1982,134.42,137.97,134.14,136.71
14-10-1982,136.71,136.89,134.55,134.57
15-10-1982,134.55,134.61,133.28,133.57
18-10-1982,133.59,136.73,133.59,136.73
19-10-1982,136.73,137.96,135.72,136.58
20-10-1982,136.58,139.23,136.37,139.23
21-10-1982,139.23,140.27,137.63,139.06
22-10-1982,139.06,140.4,138.75,138.83
25-10-1982,138.81,138.81,133.32,133.32
